id;statut;date_entree;date_sortie;zone;ligne;colonne;commentaire
1;81077;2022-03-16T02:51:36;2022-03-15T17:07:03;33636;13144;76036;Fresh Account firewall
2;10147;2022-03-16T15:02:52;2022-03-15T22:13:57;13835;28320;30355;Small Fresh
3;64981;2022-03-16T09:30:10;2022-03-16T13:29:56;1655;16254;53385;Electronics Bourgogne
4;71787;2022-03-15T18:33:48;2022-03-15T19:07:08;13214;13430;48376;cross-platform Poitou-Charentes Handcrafted
5;71804;2022-03-16T03:44:02;2022-03-16T01:20:43;84376;24030;3812;Fresh structure overriding
6;77945;2022-03-15T23:53:12;2022-03-16T07:13:25;99321;86463;1210;web-readiness b haptic
7;74498;2022-03-16T10:25:19;2022-03-15T22:22:36;95115;19983;65678;capacity Manager
8;85069;2022-03-15T21:37:59;2022-03-16T12:32:22;78080;36905;86256;access synthesizing
9;51901;2022-03-15T21:08:50;2022-03-15T22:14:17;7103;31936;54400;Chicken content
10;10773;2022-03-15T16:15:26;2022-03-16T01:52:15;98631;61929;9929;sticky monitor De-engineered
